gerencia;loc;localidade;unidade;ose;processo;tipo;descricao;equipe;responsavel;data;prazo;qtd_equipamentos
GRPG;JJU2;IRATI;EEE-02 (LAGOA);JJ054911;PAINêIS;ESGOTO;MANUTENÄ«O PREVENTIVA EM PAINêIS ELêTRICOS.;SDMEH;;25/09/2020;24/10/2020;1
GRUV;RIU5;REBOUÄAS;EEE-05;RI015590;PAINEL;ESGOTO;MANUTENÄ«O PREVENTIVA EM PAINêIS ELêTRICOS.;SDMEH;;09/09/2020;08/10/2020;0
GRUV;RIJ1;REBOUÄAS;ETA-01;RI015608;FLOCULAÄ«O (CMR-01-02);µGUA;INSPEÄ«O E REVIS«O MEC∂NICA EM EQUIPAMENTOS;SDMEH;;09/09/2020;28/09/2020;0
GRUV;RIG1;REBOUÄAS;EET-01;RI015617;BOMBEAMENTO DE PROCESSO;µGUA;MANUTENÄ«O PREVENTIVA EM PAINêIS ELêTRICOS.;SDMEH;;25/09/2020;24/10/2020;1
GRGA;QBG1;POEMA (NOVA TEBAS);EET-01 POÄO FALSO (TORRE);QB003070;PAINêIS;µGUA;INSPEÄ«O E REVIS«O ELETROMEC∂NICA EM UNIDADES OPERACIONAIS;SDMEI;;04/09/2020;03/10/2020;1
GRGA;QBA3;POEMA (NOVA TEBAS);CSB-03 CAVALO;QB003043;PAINêIS;µGUA;MANUTENÄ«O PREVENTIVA EM PAINêIS ELêTRICOS.;SDMEI;;04/09/2020;03/10/2020;1
GRGA;QBA1;POEMA (NOVA TEBAS);CSB-01 EST AGUA ROSEIRA (TORRE);QB003052;CSB-01 EST AGUA ROSEIRA (TORRE);µGUA;MANUTENÄ«O PREVENTIVA EM PAINêIS ELêTRICOS.;SDMEI;;04/09/2020;03/10/2020;1
GRGA;QBA2;POEMA (NOVA TEBAS);CSB-02( EST. POM. M. ALQUEIRES ) VILA RURAL;QB003061;PAINêIS;µGUA;MANUTENÄ«O PREVENTIVA EM PAINêIS ELêTRICOS.;SDMEI;;04/09/2020;03/10/2020;1
GRGA;IKG9;GUARAPUAVA;EET-09 AEROPORTO;IK070742;PAINêIS;µGUA;MANUTENÄ«O PREVENTIVA EM PAINêIS ELêTRICOS.;SDMEI;;07/09/2020;06/10/2020;1
GRGA;GJA9;ENTRE RIOS (GUARAPUAVA);CSB-02 LAVOURA ( COL‚N. CACHOEIRA);GJ012403;CSB-02 LAVOURA ( COL‚N. CACHOEIRA);µGUA;INSPEÄ«O E REVIS«O ELETROMEC∂NICA EM UNIDADES OPERACIONAIS;SDMEI;;10/09/2020;09/10/2020;1
GRGA;IKD1;GUARAPUAVA;EEB-01 ( CAPTAÄ«O );IK070760;MOTOR;µGUA;SUBSTITUIR ‡LEO DE EQUIPAMENTOS;SDMEI;;11/09/2020;10/10/2020;3
GRGA;IKD1;GUARAPUAVA;EEB-01 ( CAPTAÄ«O );IK070751;BOMBA;µGUA;SUBSTITUIR ‡LEO DE EQUIPAMENTOS;SDMEI;;11/09/2020;10/10/2020;3
GRGA;PYJ2;PITANGA;ETA-02 (R. NOVA TEBAS);PY007580;PAINEL;µGUA;MANUTENÄ«O PREVENTIVA EM PAINêIS ELêTRICOS.;SDMEI;JONES M. COVALEKI (J;12/09/2020;11/10/2020;0
GRGA;PYJ1;PITANGA;ETA-01 (R. ALEXANDRE BUCHMANN);PY007599;ETA-01 (R. ALEXANDRE BUCHMANN);µGUA;INSPEÄ«O E REVIS«O ELETROMEC∂NICA EM UNIDADES OPERACIONAIS;SDMEI;JONES M. COVALEKI (J;12/09/2020;01/10/2020;0
GRGA;DQA1;IBEMA (TURVO);CSB-01;DQ000064;PAINEL;µGUA;MANUTENÄ«O PREVENTIVA EM PAINêIS ELêTRICOS.;SDMEI;;18/09/2020;17/10/2020;1
GRGA;GJA5;ENTRE RIOS (GUARAPUAVA);CSB-05 ( JORD«OZINHO );GJ012430;PAINêIS;µGUA;MANUTENÄ«O PREVENTIVA EM PAINêIS ELêTRICOS.;SDMEI;;20/09/2020;19/10/2020;1
GRGA;GJA2;ENTRE RIOS (GUARAPUAVA);CSB-02 ( VL. LUIZA ) (COL‚NIA VIT‡RIA);GJ012449;PAINêIS;µGUA;MANUTENÄ«O PREVENTIVA EM PAINêIS ELêTRICOS.;SDMEI;;20/09/2020;19/10/2020;1
GRGA;GJG1;ENTRE RIOS (GUARAPUAVA);EET-01 ( VL. LUIZA ) (COL‚NIA VIT‡RIA);GJ012458;PAINêIS;µGUA;MANUTENÄ«O PREVENTIVA EM PAINêIS ELêTRICOS.;SDMEI;;20/09/2020;19/10/2020;1
GRGA;DQA2;IBEMA (TURVO);CSB-02 (VILA RURAL, IBEMA);DQ000073;PAINEL;µGUA;MANUTENÄ«O PREVENTIVA EM PAINêIS ELêTRICOS.;SDMEI;;21/09/2020;20/10/2020;1
GRGA;DQG1;IBEMA (TURVO);EET-01 BOOSTER;DQ000082;PAINEL;µGUA;MANUTENÄ«O PREVENTIVA EM PAINêIS ELêTRICOS.;SDMEI;;21/09/2020;20/10/2020;0
GRGA;IKD1;GUARAPUAVA;EEB-01 ( CAPTAÄ«O );IK070797;PAINêIS;µGUA;MANUTENÄ«O PREVENTIVA EM PAINêIS ELêTRICOS.;SDMEI;;21/09/2020;20/10/2020;3
GRGA;IKG3;GUARAPUAVA;EET-03 ( BOOSTER MORRO ALTO ) XV;IK070788;CMB-01;µGUA;SUBSTITUIR ‡LEO DE EQUIPAMENTOS;SDMEI;;24/09/2020;23/10/2020;1
GRGA;EMA3;CATUPORANGA (NOVA TEBAS);CSB-04;EM002594;PAINEL;µGUA;MANUTENÄ«O PREVENTIVA EM PAINêIS ELêTRICOS.;SDMEI;;25/09/2020;24/10/2020;1
GRGA;EMG1;CATUPORANGA (NOVA TEBAS);EET-01 ( BOOSTER );EM002602;PAINêIS;µGUA;MANUTENÄ«O PREVENTIVA EM PAINêIS ELêTRICOS.;SDMEI;;25/09/2020;24/10/2020;1
GRGA;EMG4;CATUPORANGA (NOVA TEBAS);EET-03 (RAP INTERMEDIµRIO);EM002611;PAINEL;µGUA;MANUTENÄ«O PREVENTIVA EM PAINêIS ELêTRICOS.;SDMEI;JONES M. COVALEKI (J;25/09/2020;24/10/2020;1
GRGA;EMA2;CATUPORANGA (NOVA TEBAS);CSB-03 ( EST. VELHA CTU-NOT );EM002620;PAINêIS;µGUA;MANUTENÄ«O PREVENTIVA EM PAINêIS ELêTRICOS.;SDMEI;;25/09/2020;24/10/2020;1
GRGA;IKU1;GUARAPUAVA;EEE-01 (ESCOTEIRO);IK070715;PAINêIS;ESGOTO;MANUTENÄ«O PREVENTIVA EM PAINêIS ELêTRICOS.;SDMEIE;;04/09/2020;03/10/2020;1
GRGA;IKUE;GUARAPUAVA;EEE-14 (FACULDADE);IK070724;EEE-14 (FACULDADE);ESGOTO;INSPEÄ«O E REVIS«O ELETROMEC∂NICA EM UNIDADES OPERACIONAIS;SDMEIE;;04/09/2020;23/09/2020;1
GRGA;IKUB;GUARAPUAVA;EEE-11 ( SANTANA ) DJALMA;IK070733;EEE-11 ( SANTANA ) DJALMA;ESGOTO;INSPEÄ«O E REVIS«O ELETROMEC∂NICA EM UNIDADES OPERACIONAIS;SDMEIE;;05/09/2020;24/09/2020;0
GRGA;GJX1;ENTRE RIOS (GUARAPUAVA);ETE-01 (COL‚NIA VIT‡RIA );GJ012421;ETE-01 (COL‚NIA VIT‡RIA );ESGOTO;INSPEÄ«O E REVIS«O ELETROMEC∂NICA EM UNIDADES OPERACIONAIS;SDMEIE;;06/09/2020;05/10/2020;0
GRGA;GJU2;ENTRE RIOS (GUARAPUAVA);EEE-02;GJ012412;EEE-02;ESGOTO;INSPEÄ«O E REVIS«O ELETROMEC∂NICA EM UNIDADES OPERACIONAIS;SDMEIE;;09/09/2020;08/10/2020;0
GRGA;IKX3;GUARAPUAVA;ETE-03 VASSOURAL;IK070779;TAMBOR;ESGOTO;MANUT. PREV. DECANTER CENTR÷FUGO FP 600/M - LUBRIFICAÄ«O ROL. GRUPO TAMBOR-ROSCA;SDMEIE;;17/09/2020;06/10/2020;0
GRGA;HID1;FOZ DO JORD«O;EEB-01 ( CSP-01 );HI005483;BOMBA;µGUA;LUBRIFICAR EQUIPAMENTOS EM UNIDADES OPERACIONAIS;SDMEJ;;02/09/2020;01/10/2020;2
GRGA;LIJ1;LARANJEIRAS DO SUL;ETA-01 ( RIO DO LE«O );LI017688;PAINêIS;µGUA;MANUTENÄ«O PREVENTIVA EM PAINêIS ELêTRICOS.;SDMEJ;;04/09/2020;03/10/2020;0
GRGA;QXU1;QUEDAS DO IGUAÄU;EEE-01 ( R. MAMONEIRAS );QX017273;PAINêIS;ESGOTO;MANUTENÄ«O PREVENTIVA EM PAINêIS ELêTRICOS.;SDMEJ;;05/09/2020;04/10/2020;1
GRGA;QXG2;QUEDAS DO IGUAÄU;EET-02 (ETA-01);QX017282;BOMBEAMENTO DE PROCESSO;µGUA;SUBSTITUIR ‡LEO DE EQUIPAMENTOS;SDMEJ;;09/09/2020;08/10/2020;2
GRGA;MTG4;MARQUINHO;EET-04;MT005744;PAINEL;µGUA;MANUTENÄ«O PREVENTIVA EM PAINêIS ELêTRICOS.;SDMEJ;;10/09/2020;09/10/2020;1
GRGA;MTJ1;MARQUINHO;ETA-01 ( R. XV DE NOVEMBRO );MT005762;PAINêIS;µGUA;MANUTENÄ«O PREVENTIVA EM PAINêIS ELêTRICOS.;SDMEJ;;10/09/2020;09/10/2020;0
