gerencia;loc;localidade;unidade;ose;processo;tipo;descricao;equipe;responsavel;data;prazo;qtd_equipamentos
GRTB;AZU2;ARAPOTI;EEE-02;AZ015022;BOMBEAMENTO DE PROCESSO;ESGOTO;INSPEÇÃO E REVISÃO ELETROMECÂNICA EM UNIDADES OPERACIONAIS;SDMEF;;10/09/2020;29/09/2020;1
GRTB;EFU2;CARAMBEÍ;EEE-02 LAGEADO;EF023168;EEE-02 LAGEADO;ESGOTO;INSPEÇÃO E REVISÃO ELETROMECÂNICA EM UNIDADES OPERACIONAIS;SDMEF;;10/09/2020;09/10/2020;1
GRTB;EJU6;CASTRO;EEE-06 CASTROLANDA;EJ034256;PAINEL;ESGOTO;MANUTENÇÃO PREVENTIVA EM PAINÉIS ELÉTRICOS.;SDMEF;;11/09/2020;10/10/2020;1
GRTB;EJJ1;CASTRO;ETA-01;EJ034274;ETA-01;ÁGUA;INSPEÇÃO E REVISÃO ELETROMECÂNICA EM UNIDADES OPERACIONAIS;SDMEF;;11/09/2020;22/09/2020;0
GRTB;EJD2;CASTRO;EEB-02 (CAP. SÃO CRISTÓVÃO);EJ034265;BOMBEAMENTO DE PROCESSO;ÁGUA;INSPEÇÃO E REVISÃO MECÂNICA EM EQUIPAMENTOS;SDMEF;;11/09/2020;22/09/2020;1
GRTB;EJX1;CASTRO;ETE-01 (IAPÓ);EJ034292;ROLAMENTO DA ROSCA / MANCAL-01-02;ESGOTO;LUBRIFICAR EQUIPAMENTOS EM UNIDADES OPERACIONAIS;SDMEF;;14/09/2020;25/09/2020;0
GRTB;EJD1;CASTRO;EEB-01(CAPTAÇÃO IAPÓ);EJ034319;EEB-01(CAPTAÇÃO IAPÓ);ÁGUA;INSPEÇÃO E REVISÃO ELETROMECÂNICA EM UNIDADES OPERACIONAIS;SDMEF;;14/09/2020;25/09/2020;1
GRTB;EJX1;CASTRO;ETE-01 (IAPÓ);EJ034300;COMPRESSOR;ESGOTO;SUBSTITUIR LUBRIFICANTE DE COMPRESSORES, SOPRADORES E LAVADORAS DE ALTA PRESSÃO;SDMEF;;15/09/2020;14/10/2020;0
GRTB;EFA3;CARAMBEÍ;CSB-03 (CSB-02);EF023177;CMB-01 ADUÇÃO ETA-02;ÁGUA;SUBSTITUIR ÓLEO DE EQUIPAMENTOS;SDMEF;;16/09/2020;15/10/2020;1
GRTB;EJU2;CASTRO;EEE-02 (ELEVATÓRIA DO LAGO);EJ034328;EEE-02 (ELEVATÓRIA DO LAGO);ESGOTO;INSPEÇÃO E REVISÃO ELETROMECÂNICA EM UNIDADES OPERACIONAIS;SDMEF;;16/09/2020;27/09/2020;2
GRTB;VJU6;SENGÉS;EEE-06 (LOTEAMENTO APOLO);VJ010711;EEE-06 (LOTEAMENTO APOLO);ESGOTO;INSPEÇÃO E REVISÃO ELETROMECÂNICA EM UNIDADES OPERACIONAIS;SDMEF;;17/09/2020;16/10/2020;1
